area,modalidade,artigo,titulo,autores,orientadores,resumo,bibliografia
Ensino-Pesquisa-Extensão,Oral,1053,BRASIL ENSEMBLE−UFRJ SE UNE À ORQUESTRA SINFÔNICA DA UFRJ EM CONCERTO QUE CELEBRA 100 ANOS DA CRIAÇÃO DA,,MARIA JOSÉ LIMA,"Em 2024, a Orquestra Sinfônica da UFRJ, a mais antiga orquestra em atividade na cidade do Rio de Janeiro, que desde sua fundação tem como
objetivo a valorização da produção musical brasileira, completou 100 anos (CARDOSO, 2024). Para celebrar o seu centenário foi organizado um conjunto
de ações que culminou com o concerto em 02 de setembro, com a estreia mundial da Sinfonia Serrana de Ernani Aguiar (1950) e o Choros nº10, para coro
e orquestra sinfônica, de Heitor Villa−Lobos (1887−1959). Para executar obras de tal envergadura uniram−se três Grupos de Representação Institucional
da UFRJ – GARIN: Orquestra Sinfônica da UFRJ, Coral Brasil Ensemble−UFRJ, Coral Sacra Vox, além das demais classes de canto coral da Escola de Música.
A Sinfonia Serrana, para orquestra, coro e barítono, composta por Aguiar entre os anos 2000 e 2024, teve sua estreia mundial neste concerto. A obra, em
seus quatro movimentos, faz uso de textos de quatro poetas que, assim como o compositor, são naturais de Petrópolis: Reynaldo Chaves, Wolney Aguiar,
Raul de Leoni e Hélio Chaves. Ernani Aguiar é regente e compositor tendo expressivo sucesso tanto no Brasil como no exterior. Compôs obras para coro
infantil, coro misto, música para diversas formações instrumentais, sinfonias e óperas. O Choros Nº10, para orquestra e coro misto, composto em 1926
por Villa−Lobos, é uma de suas obras nacionalistas mais marcantes. A obra faz uso do acalanto dos parecis Mokocê−cê−maká. Em sua análise do Choros
n°. 10, Villa−Lobos refere−se a este tema como “um tema cromático a maneira dos cânticos de rede que os índios parecis entoam em quarto de tom, em
Mato Grosso” (MVL, 1965, p. 159). É na segunda seção da obra que ocorre a entrada do coro. Essa seção se inicia com os tenores cantando um desenho
rítmico marcante que percorre toda a peça, com as palavras Jakata Marajá, seguido pelos contraltos, com o texto Tayapoka Marajó, fonemas que nos
remetem ao universo linguístico dos nativos brasileiros. Nessa seção Villa−Lobos nos transporta para o momento mais popular da peça, ao fazer uma
citação direta do schottisch Yara, de Anacleto de Medeiros, que originalmente recebeu letra do poema ""Rasga o Coração"", de Catulo Cearense e que,
posteriormente, por decisão judicial, precisou ser substituída. Os ensaios com o Coral Brasil Ensemble−UFRJ, dirigido por prof. Maria José Chevitarese e a
classe de canto coral da prof. Juliana Melleiro tiveram início em 21 de maio. Para facilitar a leitura da obra, na primeira parte do ensaio, os cantores foram
divididos em 4 grupos que ensaiaram separadamente sob a orientação de monitores, professores e pianistas. Na segunda parte do ensaio todos os naipes
se juntavam em um só coro. Em 02 de setembro a peça foi executada no Salão Leopoldo Miguez sob a regência de Marcelo Jardim. Ter a oportunidade de
entrar em contato com obras de expressivos compositores brasileiros, de distintas gerações, agregou conhecimento inestimável à nossa formação.","CARDOSO, André. Orquestra Sinfônica da Universidade Federal do Rio de janeiro: 100 anos. Editora UFRJ, 2024, LAGO, Manoel Correa do.
Compondo no Rio de Janeiro em 1926: presença do acalanto paresi “Mokocê−cê−maká” em composições de Villa−Lobos, in Anais do VIII Simpósio
Villa−Lobos Universidade de São Paulo, 12 e 13 de setembro de 2024; In
chrome−extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.eca.usp.br/acervo/producao−academica/003227758.pdf , acesso em 24 de abril de
2025 MUSEU VILLA−LOBOS. Villa−Lobos, Sua Obra. 1a ed. Rio de Janeiro: Ministério da Educação, 1965.
https://artedetodagente.com.br/sinfonia−serrana−estreia−em−conc"
Pesquisa,Oral,1057,"ESPAÇO, AMOR E AUTOAFIRMAÇÃO DO NOME EM ""KID ÑANDUBAY"" DE BERNARDO KORDON E ""LAS AVENTURAS DE LA CHINA IRON""",,RODRIGO FERNANDEZ LABRIOLA,"Esse trabalho se enquadra na pesquisa do projeto BERNARDO KORDON E PATRÍCIA GALVÃO: TRADUÇÃO, TEATRO E CINEMA (PIBIC 2024−2027),
sob orientação de Rodrigo Labriola. A pesquisa iniciou em abril de 2025 e, portanto, apresenta resultados parciais. O presente trabalho tem por objetivo
analisar o uso da paisagem presente no interior da Argentina como espaço narrativo e sua importância para a formação dos sujeitos protagonistas das
obras ""Kid Ñandubay"" (1971) do escritor argentino Bernardo Kordon e ""Las Aventuras de la China Iron"" (2017) da escritora argentina Gabriela Cabezón
Cámara. Neste trabalho também analisaremos o papel do vínculo erótico presente nos enredos dessas histórias e o impacto desse vínculo para a
construção e estabelecimento do ""eu"" dos protagonistas. Na obra de Kordon, acompanhamos a história de vida da personagem Jacobo Berstein, um
homem que sonha em se tornar um lutador de boxe e viver como um verdadeiro combatente. Em contrapartida, no romance de Cabezón Cámara,
acompanhamos a história da esposa sem nome do famoso gaucho Martin Fierro, célebre protagonista do poema de José Hernández (1872). Embora
ambas as obras divirjam em diversos pontos, como o tempo em que as histórias são ambientadas, o gênero dos protagonistas ou a época em que foram
escritas e publicadas, tais obras também apresentam semelhanças que tornam possível estabelecer uma conversa entre suas temáticas principais, uma
vez que ambas se utilizam da viagem pelo ""interior do país"" como metáfora para uma jornada de descobrimento ""interno"" do ""self"". Outra semelhança
pode ser percebida em que ambas as obras se utilizam do vínculo erótico para o desenvolvimento da autoafirmação, sendo figuras marginalizadas pela
sociedade: uma mulher da roça no século XIX e um imigrante judeu na primeira metade do século XX; sendo assim, propomos uma abordagem
comparativa das personagens China Iron e Kid Ñandubay. Porém, enquanto a figura da China Iron se descobre no coletivo, na vida em conjunto com os
indígenas e no contato e harmonia com a natureza de sua terra − ""Hay que vernos, pero no nos van a ver. Sabemos irmos como si nos tragara la nada:
imagínense un pueblo que se esfuma, un pueblo del que pueden ver los colores y las casas y los perros y los vestidos y las vacas y los caballos y se va
desvaneciendo como un fantasma: pierden definición sus contornos, brillos sus colores, se funde todo con la nube blanca. Así viajamos."" (p.158) −, Kid
Ñandubay se define a partir da solidão de uma vida andarilha, pois é preferível ser somente ""Jack Berstein, um verdadeiro combatente"", do que ser seu
alter ego circense ""Kid Ñandubay"": ""Era preferible ser un linyera, pero buen boxeador, que un payaso viajando en primera clase."" (p.173).","CABEZÓN CAMARA, Gabriela. Las aventuras de la China Iron. Buenos Aires: Random House, 2019. CELENTANO, Adrián. El viaje brasilianista
de Bernardo Kordon. In: MAILHE, Alejandra. Pensar al outro / Pensar la nación. La Plata: Editorial Al Margen, 2010. p.139−167. DE LEONE, Lucia. Vuelos
erráticos sobre una pampa migrante: Las aventuras de la China Iron de Gabriela Cabezón Cámara. Chuy: Revista de Estudios Literarios Latinoamericanos,
n. 10, julho de 2021, p.64−78. KORDON, Bernardo. A punto de reventar, seguido de Kid Ñandubay. Buenos Aires: Losada, 1971. SOMMER, Doris. Ficções
de fundação: os romances nacionais da América Latina. Belo Horizonte: Editora UFMG, 2004."
Ensino-Pesquisa-Extensão,Oral,1058,CORAL BRASIL ENSEMBLE−UFRJ NO XXXI PANORAMA DA MÚSICA BRASILEIRA ATUAL: ESTREIA MUNDIAL DE TRÊS COMPOSIÇÕES,,MARIA JOSÉ LIMA,"Este trabalho tem como objetivo relatar a experiência vivenciada pelos integrantes do Coral Brasil Ensemble−UFRJ durante o processo de
preparação e a participação no XXXI Panorama da Música Brasileira Atual, projeto de extensão da Escola de Música da UFRJ, ligado ao Departamento de
Composição. O coral Brasil Ensemble−UFRJ foi criado em setembro 1999, tendo como principal objetivo a divulgação da música coral brasileira, tendo
participado da XVII, XVIII, XIX e XXI Bienal de Música Brasileira Contemporânea e de diversos Panoramas da Música Brasileira Atual. O grupo vem se
destacando no cenário musical brasileiro e, por sua atuação, em 2016, recebeu o título de Grupo de Representação Institucional da UFRJ – GARIN. No
Panorama da Música Atual de 2024 o grupo fez a estreia mundial de três obras corais brasileiras contemporâneas: Música da Morte, de Leonardo Henrique
Paz; Kyrie Eleison, de Cristiano Galli; e Com o Meu Coração, de Helder Alves de Oliveira. O Panorama da Música Brasileira Atual foi criado em 1978 pelo
Departamento de Composição da UFRJ, e é um dos mais importantes festivais da música contemporânea nacional, sendo um espaço privilegiado de
divulgação da produção musical recente brasileira, com ênfase na estreia de diversas obras, fomentando assim o intercâmbio entre compositores,
intérpretes e professores. Os ensaios ocorreram regularmente às terças e quintas−feiras, das 18h às 20h, com participação ativa dos bolsistas PROART,
que integram o coro e colaboram diretamente com a interpretação das obras. Destaca−se a presença do compositor Helder Alves de Oliveira durante um
dos ensaios, contribuindo com orientações específicas de dinâmica e interpretação para sua obra. A estreia ocorreu em 7 de outubro de 2024 no Salão
Nobre do Fórum de Ciência e Cultura da UFRJ, sob regência da professora Maria José Chevitarese. O concerto foi muito bem recebido pelo público, que
solicitou bis para a peça Com o Meu Coração. A experiência reafirma o papel fundamental do Coral Brasil Ensemble como divulgador da música
contemporânea nacional, em consonância com sua trajetória de estreias nas principais bienais e festivais do país. Como resultado, os bolsistas envolvidos
puderam vivenciar um processo artístico−profissional completo, fortalecendo sua formação acadêmica e contribuindo para o cenário musical brasileiro.","https://artedetodagente.com.br/xxxi−panorama−da−musica−brasileira−atual−uma−entrevista−com−roberto−macedo/, acesso em 24 de
abril de 2025 https://www.escavador.com/sobre/1497434/cristiano−roberto−galli, acesso em 25 de abril de 2025
https://www.escavador.com/sobre/1497434/cristiano−roberto−galli, acesso em 25 de abril de 2025
https://musicabrasilis.org.br/pt−br/compositores/helder−alves−de−oliveira/ , acesso em 25 de abril de 2025"
Pesquisa,Oral,1059,A INFLUÊNCIA DA VIRADA ONTOLÓGICA NA HISTORIOGRAFIA DAS ARTES INDÍGENAS,,IVAIR REINALDIM,"O seguinte trabalho é proveniente de resultados parciais derivados do projeto de pesquisa “Historiografia da Arte no Brasil: textos
fundamentais, narrativas para outra prática futura”, coordenado pelo professor Ivair Reinaldim, o qual tem como objetivo levantar, sistematizar e
organizar textos fundamentais para a pesquisa historiográfica da arte no Brasil. O resultado final será o desenvolvimento e publicação de uma Antologia,
em quatro volumes, que serão separadas por núcleos temporais/temáticos, ainda a serem definidos. A metodologia da pesquisa é pautada na leitura dos
textos sugeridos pelo professor orientador, disponibilizados em um drive virtual, seguida do preenchimento de uma tabela, na qual constam: autor(a),
título, data de publicação, referência bibliográfica, palavras−chave e breve sinopse. Como pesquisadora voluntária me dedico ao campo historiográfico
das artes indígenas, a partir da leitura e do fichamento dos textos produzidos em temporalidades distintas, a modo a identificar as diferenças e
similaridades nas abordagens de alguns pensadores, tais como: Darcy Ribeiro, Bertha Ribeiro, Lucia Hussak Van Velthem e Els Lagrou. Neste processo,
identifiquei a chamada “virada ontológica” como um aspecto importante para a historiografia das artes indígenas. Em suma, as ontologias sugerem um
agrupamento de ideias que cada cultura desenvolve para entender o universo e os seres que nele residem, além de abrangerem as relações entre
humanos e não humanos, a intencionalidade dos artefatos para com as relações e a agência atribuída. Logo, este trabalho irá apresentar uma
averiguação crítica sobre como essa virada ontológica se manifesta na historiografia das artes indígenas. Diante do exposto, cabe ressaltar o momento
em que estudiosos deixam de considerar apenas aspectos estéticos dos objetos e passam a compreender que as artes indígenas existem em si e, não,
apenas se baseiam em fins representativos. Uma vez que “podemos perceber a arte indígena como uma estética específica do viver”, como destaca
Velthem e Lagrou no texto “Olhares cruzados"", há uma virada ontológica na forma de perceber e escrever a historiografia da arte indígena.","Lagrou, Els. Arte indígena no Brasil: agência, alteridade e relação. Belo Horizonte: Editora C/Arte, 2009. Lagrou, Els; Van Velthem, Lucia
Hussak. As artes indígenas: olhares cruzados. BIB−Revista Brasileira de Informação Bibliográfica em Ciências Sociais, n. 87, p. 133−156, 2018. _____. Arte
índia. In: RIBEIRO, Darcy et alii. Suma etnológica brasileira. Vol. 3. Petrópolis:Vozes; Rio de Janeiro: Finep, 1986, pp. 29−64. Disponível em:
www.etnolinguistica.org/suma"
Pesquisa,Oral,1062,"CARNAVAL, FUNK E RELIGIÃO: A RESISTÊNCIA SIMBÓLICA ATRAVÉS DE MANIFESTAÇÕES LITERÁRIAS",,ADRIANA MADEIRA COUTINHO,"Este trabalho tem como objetivo explorar como a literatura e as manifestações culturais populares como o Carnaval funcionam como formas de
resistência simbólica contra a opressão social e racial, a partir das reflexões de Antonio Candido e Lélia Gonzalez. Em “O Direito à Literatura"" , Candido
argumenta que a literatura é mais do que um prazer ou luxo; ela é uma necessidade humana, uma forma de resistir à desumanização causada pela
desigualdade social. Complementando essa visão, Lélia Gonzalez vê no Carnaval um espaço de resistência simbólica das culturas negras, onde, por meio
da estética e do ritmo, o povo afro−brasileiro exerce resistência contra a opressão racial e as posições sociais. Esta comunicação pretende demonstrar
como essas manifestações culturais também podem ser lidas como expressões literárias. Além disso, a exposição buscará também explorar a dimensão
religiosa presente nas manifestações populares e na música, considerando a perspectiva de Pedro Pereira – vulgo, Mano Brown — e a faixa ""Negro
Drama"" enquanto produção científica que analisa as experiências periféricas. Brown enxerga o espaço da produção musical para a comunidade negra
como um mecanismo de resistência artística, uma “estrada que pode ser trilhada” e que não se pode fugir para desafiar as opressões socioeconômicas e
de raça. Tanto para Candido quanto para González, o acesso à literatura e às manifestações culturais é visto como um direito fundamental. Quando este
direito não é legitimamente concedido, ele encontra formas de se manifestar simbolicamente, como ocorre nas festas populares, nas letras de funk ou
nas páginas de um livro. O trabalho busca, portanto, refletir sobre como essa resistência simbólica opera para desafiar o status quo e reivindicar a
dignidade e o espaço que foram historicamente negados às populações marginalizadas.","CANDIDO, antônio. VÁRIOS ESCRITOS. 5ª edição, corrigida pelo autor. Rio de Janeiro: Ouro sobre Azul, 2011; GONZALEZ, Lélia. Festas
populares no Brasil. Rio de Janeiro: Index, 1987; BROWN, Mano/RACIONAIS MC's. Negro drama: [composição de Mano Brown e Edi Rock]. In: —. Nada
como um dia após o outro dia [CD]. São Paulo: Cosa Nostra, 2002. Faixa 1."
Pesquisa,Oral,1064,INFÂNCIA MARGINALIZADA: UM ESTUDO COMPARATIVO ENTRE CAPITÃES DA AREIA E ALGUNS ROMANCES RUSSOS,,ELITZA BACHVAROVA,"INFÂNCIA MARGINALIZADA: UM ESTUDO COMPARATIVO ENTRE CAPITÃES DA AREIA E ALGUNS ROMANCES RUSSOS Minha pesquisa foca na
análise da representação da infância na obra Capitães da Areia , de Jorge Amado, dando ênfase às relações entre a pobreza, a exclusão social e as
dificuldades impostas pelo contexto de vulnerabilidade. A obra de Amado é frequentemente associada ao realismo socialista devido à sua abordagem da
realidade social brasileira, com foco na vida marginalizada dos meninos de rua em Salvador, um grupo de crianças e adolescentes que é retratado para
explorar e ilustrar temas como a pobreza, o abandono e a injustiça social. Esses são temas centrais do realismo socialista soviético, e também alicerçam
as obras de Máximo Gorki, especialmente sua trilogia autobiográfica Infância , Ganhando meu pão e Minhas universidades. Pretendo comparar aspectos
dessas obras e salientar semelhanças e distinções nas formas literárias e nas abordagens ideológicas. Entre os objetivos da pesquisa estão também
esboçar comparações entre os contextos brasileiro e russo para identificar e elucidar como diferentes tradições literárias representam criticamente a
infância marginalizada. É salientado o papel da infância como espaço de formação do indivíduo, marcado por traumas e por esquecimento, tanto no Brasil
quanto na Rússia. Contos e novelas de autores russos e soviéticos como Tchekhov, Gorki e Ognev serão referenciados, focando na contribuição que o
realismo socialista poderia ter tido para a compreensão e representação da modernidade no século 20. A contribuição de G. Lukacs ( Ensaios sobre
literatura ) será discutida na análise das obras e com respeito às questões filosóficas que a literatura de cunho social suscita. A pesquisa também almeja
investigar, no futuro, o lugar da ideia de predestinação nas várias narrativas, ou seja, o pensamento de que certos destinos são inevitáveis devido aos
fatores sociais, morais ou existenciais – ideia muito presente na literatura russa como, por exemplo, em Crime e Castigo, de Dostoiévski. Pretendo fazer
um paralelo entre a literatura brasileira e a russa que permita analisar as amarras invisíveis que condicionam o destino dos indivíduos por meio da
pobreza, da exclusão, da falta de oportunidades e de perspectivas ou até mesmo por meio da repressão institucional e do descaso da sociedade (ainda
mais no caso do Brasil). A pesquisa aborda essa aproximação por meio de uma leitura sócio−crítica comparativa sobre o papel da infância nos dois
países. J. Amado: Capitães da Areia, Máximo Gorki: Infância Clube do livro, São Paulo, 1961. Anton Tchekhov: Os 50 Melhores Contos de Tchekhov, EBOOK
LEGAIS","J. Amado: Capitães da Areia, Máximo Gorki: Infância Clube do livro, São Paulo, 1961. Anton Tchekhov: Os 50 Melhores Contos de Tchekhov,
EBOOK LEGAIS"
Pesquisa,Oral,1069,ONDE O PROGRESSO FALHA: UMA RUPTURA ENTRE SUJEITO E LUGAR NA TRAJETÓRIA DO TRABALHADOR RURAL EM INFERNO,,DANIELLE DOS SANTOS CORPAS,"Este trabalho tem como objetivo observar como, em Inferno Provisório , Luiz Ruffato figura literariamente, em perspectiva histórica, a relação de
não pertencimento entre sujeito e espaço no curso do processo de modernização do Brasil no século XX. Com enfoque na dinâmica do trabalho,
propõe−se uma leitura dos eixos narrativos recorrentes nas histórias que compõem este “romance não−burguês” (termo empregado pelo autor em
entrevistas). Na obra, a conexão entre o ser e o pertencer se rompe em contextos nos quais determinados corpos se reduzem à condição do trabalho
subalterno, em face da qual pertencer é um direito que lhes é negado. Contextualizando as narrativas no processo de modernização e acompanhando
transformações do capitalismo em pequenas e médias cidades, assim como em capitais brasileiras, Ruffato ilustra os efeitos sobre a identidade e o
pertencimento do trabalhador rural migrante. Ele nos convida a refletir sobre como, a partir de suas escolhas estruturais e textuais, é possível perceber a
interação entre sujeito e lugar. O romance não−burguês de Ruffato revela um Brasil que, enquanto vislumbra seu crescimento econômico, desloca
aqueles que não têm espaço ou chance nesse processo. Por meio de uma seleção de narrativas da obra, pretende−se demonstrar que, ao acompanhar os
trabalhadores do campo em sua migração para os centros urbanos em busca de melhores condições, Ruffato expõe as falhas crônicas de uma
modernização que não consegue integrar plenamente um vasto contingente de cidadãos. Esses trabalhadores, em sua maioria analfabetos e com uma
vida simples, enfrentam uma inserção repentina nas dinâmicas do capitalismo urbano, desprovido de qualquer estrutura que assegure sua permanência e
desenvolvimento material. O que lhes é apresentado não é o pertencimento prometido, mas um lugar de descarte. Paralelamente, a obra também
aborda as consequências dessa migração no campo: a escassez de mão de obra e os impactos ambientais se tornam parte de um sistema que despoja os
indivíduos de suas raízes. Assim, a estrutura capitalista não só desloca fisicamente os trabalhadores, mas também quebra os laços identitários que os
conectam às suas origens. O trabalhador rural se transforma em símbolo de um Brasil que continua nas margens, resultado de um progresso falho que,
por meio de dinâmicas excludentes, apenas oferece urgência pela sobrevivência.","Ruffato, Luiz. Inferno provisório. Editora Companhia das Letras, 2016. Corpas, Danielle. ""De boas intenções o inferno está cheio."" Revista
Cerrados 18.28 (2009). Dealtry, Giovanna. ""Cidades em ruínas: a história a contrapelo em Inferno Provisório, de Luiz Ruffato."" Estudos de literatura
brasileira contemporânea 34 (2009): 209−221."
Pesquisa,Oral,1079,PRÁTICAS DE LETRAMENTO DE LÍNGUA INGLESA PRIVILEGIADAS NOS PLANOS DE AULA DA PLATAFORMA DIGITAL NOVA ESCOLA:,,PAULA TATIANNE CARRERA SZUNDY,"A apresentação tem como foco os desdobramentos mais recentes do projeto de pesquisa “Práticas de letramento de língua inglesa
privilegiadas nos planos de aula da plataforma digital Nova Escola: inter−relações com a BNCC”, cujo objetivo é analisar como as orientações para o
ensino e aprendizagem de inglês prescritas no componente curricular Língua Inglesa da Base Nacional Comum Curricular (BNCC) são interpretadas nos
planos de aula direcionados ao 9º ano do ensino fundamental da plataforma digital de conteúdos para professores Nova Escola. A metodologia inclui a
análise comparativa entre as atividades que integram os planos de aula do 9º ano e as competências e habilidades prescritas no componente curricular
de língua inglesa visando compreender as práticas de letramento e ideologias privilegiadas. Adicionalmente, a pesquisa também leva em consideração as
ideologias (linguísticas) entextualizadas nos artigos publicados na plataforma Nova Escola. A fundamentação teórica do projeto é orientada por reflexões
críticas acerca da BNCC e, mais especificamente, do componente curricular língua inglesa realizadas por utores diversos, assim como em pesquisas e
estudos com temáticas relevantes à pesquisa. Destaco os estudos de Szundy (2021) sobre ideologias neoliberais presentes na BNCC, decorrentes do
cenário sociopolítico durante a sua criação, e os estudos de Januário e Schwartz (2023) sobre o papel da Associação Nova Escola e de sua mantenedora
Fundação Lemann como instituições privadas durante a elaboração do documento como algumas das principais fontes utilizadas. Na atual fase da
pesquisa, fundamentada na compreensão do currículo enquanto signo, apoiada pela ideias presentes na obra Marxismo e filosofia da linguagem
(Voloshinov, 2017 [1929]), os resultados apontam para o forte posicionamento acrítico da plataforma digital em relação às diretrizes prescritas pela
BNCC, explicitado pela reprodução de ideias, termos, competências e habilidades do componente curricular LI nos artigos produzidos pelo site, sem
maior aprofundamento ou perspectivas críticas sobre concepções e ideologias linguísticas relacionadas ao documento. Desta forma, a aparente
cumplicidade da plataforma Nova Escola com a BNCC aponta para a ideologia de que seguir as prescrições do documento resultará na melhoria das
experiências de ensino−aprendizagem de inglês no Brasil, afetando positivamente alunos/as e professores/as. Palavras−chave: Nova Escola. BNCC.
Inglês. Plataforma Digital","JANUÁRIO, T. D. M; SCHWARTZ, C. M. Base Nacional Comum Curricular (BNCC): menina dos olhos da Associação Nova Escola e Fundação
Lemann. Espaço Plural, [S. l.], v. 19, n. 39, 2024. SZUNDY, P. T. C. Conflicting Language Ideologies About What Counts as “English” in the Brazilian
National Common Core Curriculum: Arenas for Permanences and Disruptions. Rubdy, Rani & Tupas, Ruann (Editors). Bloomsbury World Englishes Vol. III:
Ideologies, 2021, p. 213−229. VOLOSHINOV, V. N. (1929). Marxismo e filosofia da linguagem: problemas fundamentais do método sociológica na ciência
da linguagem. Trad. Sheila Grillo; Ekaterina Vólkova Américo. São Paulo: Editora 34, 2017."
Pesquisa,Oral,1081,"PRÓTO/TIPO II : assombro, aparição e tentativas de presença na arte",,DINAH OLIVEIRA,"PRÓTO/TIPO II: assombro, aparição e tentativas de presença na arte é um subprojeto de pesquisa PIBIAC integrante do projeto Poéticas
decoloniais: metodologias com a obra de Denise Ferreira da Silva, orientado por Dinah de Oliveira, integrante do Departamento BAE−EBA. Com uma
metodologia de encontros de discussão de textos da autora e trabalhos artísticos, o projeto constitui um exercício laboratorial. Neste subprojeto, penso a
fabulação proposta por Ferreira da Silva como possibilidade emancipatória da separabilidade. Na minha produção artística e desenvolvimento de projeto
expositivo, investigo a capacidade instauradora de presença ou ausência na arte em diálogo com identidades não normativas. Tenciono a fabulação
identitária em intermédio com a criação artística em representações ou insinuações de imitação de corpo ou do sujeito como disparadores de outras
possibilidades de ser. Proponho o corpo queer em diálogo com a artificialidade mimética, por meio de materialidades e signos ligados a um imaginário
sintético (látex, bonecas, máscaras, stop motion) abraçando a sua dita não naturalidade nas organizações petrossexoraciais, como aponta Paul B.
Preciado. Uma manifestação do duplo, um espelhamento do eu que fratura, do outro, da infamiliaridade de Freud, uma tentativa de exposição ao
estranhamento em nossas concepções cristalizadas de casa, família, natureza, gênero. Em Nossa casa (2024) trabalho escultórico em látex em formato
de uma planta de casa, tenciono a relação corpo e casa e suas demarcações. Pensando a importância dessa forma na constituição de nossos corpos e
subjetividades o trabalho propõe um diálogo com as relações de lar, casa e família entre pessoas queer, abordando nossa necessidade de vínculo, falta,
além da manutenção e (re)significação dessas estruturas, fabular outras moradas, mesmo que na própria pele. Esse trabalho e eu gosto de ocupar o
menor espaço possível (2024), trabalho em stop motion criado no meu último ano da bolsa e comentado na última SIAC, participaram da exposição
Abre−Alas 20 da galeria A Gentil Carioca, no Rio de Janeiro, importante exposição para a inserção de novos artistas no circuito artístico carioca. Em outro
desdobramento da minha pesquisa como bolsista, estou desenvolvendo um projeto de exposição individual em diálogo com a disciplina BAEX07
exposição do meu curso de graduação. Assim, tendo oportunidade de pensar minha produção em uma espécie de totalidade, estudo os desdobramentos
do que penso como proposições prototípicas (seja de identidade, trabalho, corpo, conceito) o que ainda está em nível de protótipo e não numa finalidade,
em experimentação. Em conjunto a Denise Ferreira da Silva e a não separabilidade, penso essas divisões de já concebido e em desenvolvimento como
ordenações normativas, e em minha exposição gostaria de propor o queer como aparição dessa infinita protetização, não em busca de materializações
concretas, mas em sempre iminência assombrosa de transformação.","FERREIRA DA SILVA, Denise. A dívida impagável: uma crítica feminista, racial e anticolonial do capitalismo. 1. ed. Rio de Janeiro: Zahar,
2024. 400 p. PRECIADO, Paul B. Dysphoria mundi: o som do mundo desmoronando.1. ed. Rio de Janeiro: Zahar, 2023. FREUD, Sigmund. O infamiliar [Das
Unheimliche]: edição comemorativa bilíngue (1919−2019): Autêntica, 2019. 288 p. (Coleção Obras Incompletas de Sigmund Freud, v. 8)."
Pesquisa,Oral,1088,A TRADUÇÃO DAS ONOMATOPEIAS JAPONESAS “KIRAKIRA” E “PIKAPIKA”: NUANCES,,RACHEL ANTONIO SOARES,"Na língua japonesa, as onomatopeias são um recurso linguístico muito presente tanto na fala cotidiana quanto na escrita. Ao consultarmos o
vocabulário “onomatopeia” no dicionário online Michaelis, a s definiç ões para o vocábulo em questão são a s seguinte s : “Formação de uma palavra pela
reprodução, tanto quanto possível, do som natural ou ruído a ela relacionado; onomatopoese.” e “A palavra que tem essa formação; a palavra que
pretende imitar certos sons e ruídos, como, por exemplo: atchim, miau, pum etc.”. Entretanto, na língua japonesa, as onomatopeias são divididas em três
categorias: giseigo , giongo e gitaigo . A categoria giseigo indica o som emitido por seres humanos e animais, enquanto que a categoria giongo indica
sons que são emitidos por objetos (como pedras rolando) e fenômenos da natureza (como o som da chuva ou do vento). Já a categoria gitaigo expressa o
estado das pessoas e das coisas, como, por exemplo, a intensidade da chuva ou do vento. Visto essa peculiaridade, às vezes há um impasse quanto à
tradução das onomatopeias para outras línguas, como o português do Brasil. Com a popularização de mídias japonesas como animes e mangás – onde
são encontradas muitas onomatopeias (LUYTEN, 2002) – a tradução das mesmas tornou−se indispensável , visto que desempenha o papel de
complementar o conteúdo da mensagem ou transmitir a condição do ambiente a qual a personagem está inserida. Estudos comparativos sobre as
onomatopeias nos quadrinhos japoneses e nos quadrinhos ocidentais como o de Luyten ( op. cit. ) já indicavam peculiaridades sobre as diferenças
culturais e como essas diferenças são refletidas na concepção e no uso das onomatopeias. Já Santos (2023) enfoca em questões verbais e pictóricas que
envolvem as onomatopeias. Há também estudos voltados ao ensino de onomatopeias de alunos estrangeiros e estudos voltados para a tradução de
onomatopeias presentes em romances e nos mangás. Dentre os desafios da tradução , há onomatopeias que possuem significado similar, mas com
nuance distinta. É o caso de “ kira kira ” e “ pika pika ”, onomatopeias que embora pareçam possuir o mesmo sentido − brilhar − possuem nuance
distinta quanto o modo de brilhar e, consequentemente, haverá implicação na forma de transmissão dessa nuance ao ouvinte/leitor. Este trabalho é um
recorte da minha pesquisa monográfica do curso de Letras Português−Japonês sobre as consequências da tradução das onomatopeias da língua japonesa
em comparação com o português do Brasil. Através de exemplos retirados do site de notícias japonesas NHK, dos mangás Ouran Host Club e Rendan no
Oto e do jogo Genshin Impact , as onomatopeias “ kira kira ” e “ pika pika ” serão comparadas e analisadas quanto às possíveis técnicas de tradução a
serem empregadas à luz de Barbosa (1990).","BARBOSA, Heloísa Gonçalves. Procedimentos técnicos da tradução: uma nova proposta. Campinas/SP: Pontes, 1990. SANTOS, Silvio
Domingues dos. As extensões semânticas das onomatopeias japonesas: metáforas verbais e pictóricas. In: Revista Investigações, Recife, v. 36, n. 2, p. 1
− 28, 2023. ISSN Digital 2175−294x LUYTEN, SONIA M. BIBE. Onomatopeia e mímesis no mangá: a estética do som. Revista USP, n. 52, p. 176−189,
2002."
