area,modalidade,artigo,titulo,autores,orientadores,resumo,bibliografia
Pesquisa,Pôster Virtual,633,QUANTIFICAÇÃO ABSOLUTA DE HEPCIDINA SÉRICA EM HUMANOS: UMA ESTRATÉGIA BIOANALÍTICA UTILIZANDO TÉCNICAS,,"BERNARDO FERREIRA BRAZ,RICARDO ERTHAL SANTELLI","A quantificação absoluta de proteínas se apresenta como uma técnica bioanalítica em substituição ou complementação às técnicas basedas em
imunoensaios, como a ELISA e ECLIA. Nesta técnica a proteína quantificada deve possuir um heteroátomo e sua estequiometria deve ser conhecida e
estável. Os heteroátomos metálicos são quantificados com extrema sensibilidade e precisão utilizando a Espectrometria de Massa Inorgânica com Fonte
de Plasma (ICP−MS), portanto quando a ICP−MS é hifenada com uma técnica de separação, como a Cromatografia à Líquido de Alta Eficiência por Troca
Iônica (HPLC−IE) as proteínas podem ser quantificadas diretamente através da quantificação do heteroátomo nas frações de massa eluidas do HPLC. A
análise por diluição isotópica também será utilizada para a quantificação, fazendo com que a análise seja considerada primária. A hepcidina é um
peptídeo com 25 aminoácidos de tamanho, que é considerada um hormônio, que atua no controle da absorção de ferro gastrointestinal. Ao ser expressa a
hepcidina bloqueia a entrada de ferro nos enterócitos, fazendo com que o ferro não seja absorvido para a corrente sanguínea. A hepcidina apresenta
grande importância no metabolismo de ferro, visto que o corpo humano não apresenta nenhuma rota de excreção para ferro, sendo assim a principal
forma de não haver uma sobrecarga de ferro é realizada por esse hormônio. Inflamações, por exemplo, podem alterar a expressão de hepcidina e por isso
o seu controle se faz de suma importância para o melhor entendimento do metabolismo e status nutricional de ferro em humanos, o que motivou a sua
utilização no presente projeto . A Hepcidna tem alta afinidade pelo cobre, sendo esse um cofator de sua atuação, sendo assim esse heteroátomo é
utilizado como alvo para a determinação absoluta de hepcidina. Ainda não foram produzidos resultados, o bolsista ainda encontra−se na otimização dos
parâmetros e ajustes no preparo de amostras. Neste trabalho o bolsista de iniciação científica tem a atribuição de preparo de amostras, análises
instrumentais, tratamento de dados e escrita científica (conforme solicita o edital).","Ordonez, Y et al. Anal. Methods,6, 3967, 2014; Sanz−Medel, A et al, TrAC, 40, 52−63, 2012; Plonka, D. et al. J. Inorg. Biochemistry, 248,
112364, 2023."
Pesquisa,Oral,644,LICENCIAMENTO AMBIENTAL E EXPANSÃO DA FRONTEIRA AGRÍCOLA NO PIAUÍ: QUAIS CONEXÕES?,,EVE ANNE BUHLER,"A reprimarização da economia brasileira, caracterizada pelo aumento da pressão sobre a terra e os recursos naturais (DELGADO; LEITE, 2022),
consolidou um pacto de economia política que atribui ao setor primário a centralidade no desenvolvimento nacional. Nesse contexto, representantes do
agronegócio assumem nos meios de comunicação o discurso de que “alimentam o mundo” (BÜHLER, 2024), enquanto crescem os alertas sobre os
impactos socioambientais da expansão da fronteira agrícola. Dessa tensão emerge a noção de “desenvolvimento sustentável”, que tenta articular a
expansão do capital com uma racionalidade ambiental (BRONZ; ZHOURY; CASTRO, 2020). Contudo, as políticas públicas associadas a essa ideia muitas
vezes se estruturam sob um viés técnico−gerencial, mais focado em procedimentos e eficiência institucional do que em sua função conservacionista
(BÜHLER, 2024). Isso coloca em debate os limites da atuação estatal na regulação ambiental frente à força dos interesses econômicos. Este trabalho
parte da hipótese de que, no Piauí, a modernização dos instrumentos públicos de regulação ambiental tem priorizado a viabilização da expansão da
fronteira agrícola em detrimento da contenção de seus impactos. O estado integra o Matopiba, recorte territorial da mais recente frente de avanço do
agronegócio sobre o Cerrado, bioma já fortemente degradado. A pesquisa, iniciada em março de 2025, integra o projeto Soypiba, soja, regulações
ambientais e fronteiras agrícolas no Piauí e Bahia, fomentada pelo CNPq, e busca responder à seguinte questão: em que medida os processos de
modernização da regulação ambiental têm sido guiados pelas demandas econômicas associadas à expansão da fronteira agrícola no Piauí? Para isso, foi
realizado um levantamento das licenças ambientais no site da Secretaria de Meio Ambiente e Recursos Hídricos do estado (SEMARH−PI) levantando
licenças concedidas entre 2023 e 2025. Essas licenças servirão como base para análises estatísticas e espaciais voltadas à identificação de padrões de
concessão e eventuais irregularidades, como a emissão de autorizações em Unidades de Conservação ou Estações Ecológicas. Em 2024, o governo
estadual anunciou a redução de 90&percnt; no tempo médio de análise de pedidos de licenciamento, com cerca de 3 mil licenças emitidas em um único
ano. O feito foi atribuído à digitalização dos processos e ao fortalecimento institucional impulsionado por recursos do Fundo Amazônia e do FIP Cerrado
(BÜHLER, 2024). A análise dessas licenças permitirá avaliar o grau de alinhamento da gestão ambiental às exigências do agronegócio. Ao final,
espera−se que a pesquisa contribua para o debate sobre o papel da regulação ambiental em contextos de avanço da fronteira agrícola, refletindo sobre
os riscos de captura institucional por interesses econômicos.","BÜHLER, Ève Anne. Modalidades de legitimação da fronteira agrícola e contradições da regulação ambiental no Matopiba. In: MARQUES,
Marta Inez Medeiros; ALVES, Vicente Eudes Lemos (org.). A fronteira do Matopiba: as novas faces da expansão do capital e seus conflitos. São Paulo:
FFLCH, 2024. p. 90–112. BRONZ D.; ZHOURI A.; CASTRO E. Passando a boiada: violação de direitos, desregulação e desmanche ambiental no Brasil.
Revista Antropolítica, v. 49, p. 8−41, 2020. DELGADO, Guilherme C.; LEITE, Sérgio Pereira. O agro é tudo? Pacto do agronegócio e reprimarização da
economia. Revista Rosa, v.2. 2022. Disponível em: https//revistarosa.com. Acesso em 30. set. 2024"
Pesquisa,Oral,648,Aplicação do MASW (Multi Channel Analysis of Surface Waves) no monitoramento de descomissionamento de barragem de rejeitos em Crixás –,,MARCO BRAGA,"A Barragem Serra Grande, operada pela AngloGold Ashanti, está situada no município de Crixás − GO, e foi iniciada em 1989 a fim de
armazenar rejeitos provenientes da mineração de ouro. O principal método construtivo adotado foi o alteamento a montante, técnica que, conforme
estabelecido pela Lei nº 14.066/2020, passou a ser proibida em território nacional devido ao seu maior potencial de risco e/ou dano. Como consequência,
a estrutura encontra−se em processo de descaracterização iniciado em 2020. Visando o aumento da segurança do processo de descaracterização, foi
instalado um sistema de microssísmica com 10 geofones, além da execução de levantamento terrestre de MASW previamente aos trabalhos de
movimentação de materiais. Este trabalho tem como objetivo apresentar os resultados do monitoramento da variação da velocidade das ondas de
cisalhamento (ondas S) nos materiais que compõem a estrutura da barragem, baseando−se na utilização integrada de dois métodos geofísicos: o MASW
(Multichannel Analysis of Surface Waves) e a microssísmica. O levantamento de MASW foi realizado em setembro de 2023, utilizando um sismógrafo
multicanal acoplado a um arranjo linear de 48 geofones, com espaçamento regular de 2,5 metros. Foram adquiridas 14 linhas sísmicas, com registro de
dados por meio de fontes ativas e fontes passivas, provenientes de ruídos sísmicos naturais, utilizadas para monitorar a estrutura da barragem e
caracterizar a ocorrência e os tipos de sismos. A malha gerada possibilitou a construção de modelos 1D, 2D e 3D de distribuição de Vs, os quais são
atualizados mensalmente com os dados microssísmicos. Para uma análise mais detalhada dos resultados, subdividimos a barragem em três setores:
ombreira esquerda, ombreira direita e porção central. Com base na classificação de tipos de solo estabelecida pelo Uniform Building Code (UBC),
definimos uma tabela de cores aplicada nos modelos de variação mensal. Assim, foram identificadas quatro classes de solo presentes na estrutura da
barragem, categorizadas a partir de intervalos de Vs: Classe E − solos moles − Vs 360 m/s; Classe C − solos muito densos ou rocha mole − 360 760 m/s;
Classe B − rocha − 760 1500 m/s. Durante o monitoramento, a máxima variação absoluta registrada foi de 1,22&percnt; no geofone 1, na ombreira
direita, enquanto a mínima foi de −0,45&percnt;, no geofone 14, na ombreira esquerda, indicando uma tendência de aumento de Vs na ombreira direita e
de leve redução na ombreira esquerda. Assim, conclui−se que os valores de Vs não apresentaram variações significativas desde a interrupção do
lançamento de rejeitos. Os resultados também reforçam a eficácia da aplicação de métodos geofísicos, como o MASW e a microssísmica, no
monitoramento contínuo de barragens de rejeito.","Park, C. B., Miller, R. D., and Xia, J., 1996c, Multi−channel analysis of surface waves (MASW):Submitted for publication in Geophysics PARK,
C. B.; MILLER, R. D. ROADSIDE PASSIVE MASW. Proceedings of the SAGEEP, Seattle, Washington, 2−6 April 2006."
Pesquisa,Pôster,673,Análise Morfológica de Polímeros para Células Solares Orgânicas: Estudo do Efeito de Aditivos e Tratamento Térmico do PFO e F8T2,,MARIA LUIZA ROCCO DUARTE PEREIRA,"Com o aumento da demanda energética e a crescente preocupação global em garantir sustentabilidade e preservação ambiental, o
desenvolvimento de tecnologias renováveis tem avançado significativamente nos últimos anos. Na busca por células solares de baixo custo, capazes de
serem produzidas em larga escala com filmes finos e flexíveis, as células solares orgânicas (OSCs) baseadas em polímeros conjugados destacam−se
como uma alternativa promissora.[1][2]Apesar da vantagem econômica, sua comercialização ainda é limitada pela baixa eficiência de conversão
energética e pelo reduzido tempo de vida. Neste trabalho, foi investigada a morfologia de filmes finos de polímeros e copolímeros, como o PFO
(polidioctilfluoreno) e o F8T2 (poli(9,9−dioctilfluoreno−alt−bitiofeno)), bem como de amostras tratadas com os aditivos ODT (1−Octanoditiol) e DIO
(1,8−Diiodooctano) e submetidas a tratamento térmico. As análises foram realizadas por meio de técnicas de caracterização de superfície, como a
espectroscopia de fotoelétrons excitados por raios−X (XPS) e espectroscopia de absorção de raios−X (NEXAFS), que permitem se realizar uma avaliação
qualitativa e quantitativa da composição química dos filmes produzidos, bem como do ordenamento das cadeias poliméricas.[2] Os dados estão sendo
processados pelos softwares Avantage (6.9.4.1) e Origin (9.1) , com a finalidade de compreender como a adição de aditivos e o tratamento térmico
influenciam na organização molecular e nas propriedades eletrônicas dos polímeros PFO e F8T2, visando otimizar sua eficiência em dispositivos
fotovoltaicos orgânicos. As análises de XPS confirmaram a composição esperada dos filmes de PFO e F8T2, enquanto os espectros de NEXAFS revelaram
orientação molecular preferencial ""face−on"", favorável ao transporte de carga em dispositivos fotovoltaicos. O tratamento térmico e o uso de aditivos
(ODT/DIO) demonstraram potencial para melhorar a organização molecular. Esses resultados indicam que o controle da morfologia e orientação molecular
podem contribuir para o desenvolvimento de células solares orgânicas mais eficientes.[2]","−HELLMANN,Thauany. Estudo da estrutura eletrônica de filmes finos nanocompósitos: politiofeno/nanopartículas de ouro e
politiofeno/nanopartículas de ouro/nanotubos de carbono através de técnicas espectroscópicas. 2021. 143 f. Dissertação − Instituto de Química,
Universidade Federal do Rio de Janeiro, Rio de Janeiro, 2021.[1] −PEREIRA, Cássia Ferreira Coutinho. Influência da adição de aditivos, de um polímero
isolante e do tratamento térmico na estrutura eletrônica e morfologia de copolímero à base de bitiofeno para aplicação em energia fotovoltaica orgânica.
2020. 115 f. Dissertação – Instituto de Química, Universidade Federal do Rio de Janeiro.[2]"
Pesquisa,Oral,689,Identificação da Melhor Técnica de Aprendizado de Máquina para Classificação Multi−classe de Severidade da Violência em Mensagens de,,JONICE DE OLIVEIRA SAMPAIO,"A violência é um grande contribuinte para morte, doença e deficiência, e uma série de outras consequências de saúde e sociais no mundo −
Butchart et al. (2014). Em um contexto urbano, a violência tem sido um grande desafio, levando à necessidade do uso de diferentes tipos de dados para
entender os seus impactos e as ações necessárias a serem tomadas pelas autoridades públicas. Na busca por se manter informada sobre potenciais
perigos, a população usa principalmente mídias sociais para relatar e se informar sobre ocorrências violentas. A partir dessa premissa, o objetivo é
identificar a melhor técnica de inteligência artificial para multi−classificação de severidade violência reportada em texto de mídias sociais de acordo com
uma escala de violência. Para isso foi utilizado um conjunto de dados com publicações relatando casos de violência urbana publicadas na plataforma X
(“Twitter”) entre 2013 e 2017. As publicações foram coletadas de 4 fontes principais: Uma operação na Rocinha entre 13 e 21 de setembro de 2017, os
protestos de 2013 entre 24 e 30 de junho, a greve militar no Espírito Santo em fevereiro de 2017 e várias páginas que reportam crimes, como
@fogocruzadoapp, entre junho e julho de 2017. O conjunto contém publicações rotuladas em categorias baseadas em uma extensão da Quantification of
Violence Scale (QOVS), escala proposta por Tyrer et al. (2007) para quantificação da severidade de casos de violência, que inclui: violência nula, violência
baixa, violência media, violência alta e violência extrema. Neste trabalho, após remoção de 280 mensagens duplicatas, um conjunto de 1758 resultante
foi dividido para treino e teste em 70&percnt; e 30&percnt;, respectivamente. Os textos foram “tokenizados” para o BERT (Bidirectional Encoder
Representations from Transformers por Devlin et al. (2019)) e vetorizados usando o método TF−IDF para os outros modelos, formando dois grupos de
dados com as mesmas entradas, mas com representações diferentes. Foram testados 9 modelos diferentes − Dummy, AdaBoost, BERT, Árvore, Floresta,
Naive Bayes, Árvore com Upsampling, Floresta com Upsampling, Naive Bayes com Upsampling. Foram observados os resultados para as métricas da
acurácia, precisão, revocação, F1−score, ROC AUC e APS para definir qual seria o melhor. Para implementação dos algoritmos e suas dependências foram
usadas as bibliotecas Scikit−Learn e Transformers. O modelo BERT teve a melhor performance em 4 das 6 métricas e a Floresta Aleatória sem
Upsampling alcançou o melhor ROC AUC e APS. Foi observado uma diferença muito pequena entre os modelos sem Upsampling e com Upsampling.
Finalmente, o modelo BERT foi selecionado, com revocação e ROC AUC para a base de dados de teste: 0,87 e 0,92, respectivamente. O uso de
upsampling para balanceamento das classes não proporcionou nenhuma melhoria.","Butchart A,Mikton C,Dahlberg LL,Krug EG. Global status report on violence prevention 2014. Inj Prev. 2015 Jun;21(3):213. doi:
10.1136/injuryprev−2015−041640.PMID: 25995201;PMCID: PMC5863224. Devlin, J., Chang,M.−W., Lee, K., and Toutanova, K. (2019). BERT:Pre−training
of Deep Bidirectional Transformers for Language Understanding. arXiv:1810.04805 [cs]. Tyrer, P., Cooper, S., Herbert, E., Duggan, C., Crawford, M., Joyce,
E., Rutter, D.,Seivewright, H., O’Sullivan, S., Rao, B., Cicchetti, D., and Maden, T. (2007). The Quantification of Violence Scale: a Simple Method of
Recording Significant Violence. International Journal of Social Psychiatry, 53(6):485–497.Publisher:SAGE Publications Ltd."
Pesquisa,Oral,698,Pressolares presentes em Bennu e Ryugu: uma comparação com o cometa Wild−2,,SILVIA LORENZ-MARTINS,"Grãos pressolares são grãos que possuem razões isotópicas de alguns elementos diferentes daquelas encontradas no Sol. Tais razões aliadas às
previsões da nucleossíntese estelar podem indicar o tipo de estrela que produziu determinada espécie de grão. Eles representam uma parcela ínfima
daqueles encontrados em meteoritos. No entanto, as análises isotópicas desses grãos revelaram que, além de estrelas ricas em carbono e ricas em
oxigênio, as supernovas também contribuíram para a formação da nebulosa solar, evidenciando um grande intervalo de massas na formação de tal
nebulosa. Os pressolares estão presentes em alguns meteoritos, partículas de poeira interplanetária (IDP – Interplanetary Dust Particles), e em corpos
mais primitivos do Sistema Solar. Os pressolares foram identificados na amostra coletada do cometa Wild 2 pela missão Stardust. Essa foi uma missão
pioneira no sentido de coletar material do sistema solar e retorná−lo à Terra. Em 2004, a nave espacial Stardust fez um sobrevoo próximo ao cometa
Wild−2, coletando poeira cometária e interestelar em uma substância chamada aerogel. Dois anos depois, as amostras retornaram à Terra em uma
cápsula de retorno que pousou no deserto de Utah. Material obtido por missões semelhantes e mais recentes aos asteroides Ryugu (Hayabusa, JAXA –
Agência de Exploração Aeroespacial do Japão) e Bennu (OSIRIS−REX – Origins Spectral Interpretation, Resource Identification, and Security−Regolith
Explorer), também revelaram a presença de grãos pressolares de diferentes espécies. A Hayabusa2 foi lançada em 2014 chegando ao asteroide Ryugu
em 2018. A missão recolheu amostras retornando uma cápsula contendo material em 2020. Já a OSIRIS−REX viajou até Bennu, coletando amostras de
rochas e poeira da superfície do asteroide em 20 de outubro de 2020 e retornando essas amostras em setembro de 2023. Nesse trabalho analisamos as
espécies de grãos pressolares presentes nas amostras dos asteroides Bennu e Ryugu e as comparamos com amostras obtidas do cometa Wild 2. O
objetivo principal deste estudo foi agrupar os grãos de cada corpo de acordo com sua fonte estelar, conectando com a região onde se encontram os
corpos estudados no sistema solar a fim de evidenciar a heterogeneidade da nebulosa solar.","Clayton, D.; Nittler, R.L. (2004) ARA&A, 42; 39−78 Nguyen, A.N. et al. (2024), 55th LPSC, 580 Shollenberger, Quinn R.; Render, Jan;
Wimpenny, Josh; Armytage, Rosalind M. G.; Gunawardena, Nipun; Rolison, John M.; Simon, Justin I.; Brennecka, Gregory A 2025 Earth and Planetary
Science Letters, Volume 664, id.119443 Stephan, . et al. (2024) 86th Annual Meeting of the Meteoritical Society 2024 (LPI Contrib. No. 3036), 6388"
Extensão,Oral,703,Pequenos Corpos do Sistema Solar: um Livro Falado,,SILVIA LORENZ-MARTINS,"O termo ‘pequenos corpos’ é geralmente utilizado para identificar as diferentes populações de asteroides e cometas presentes em nosso
Sistema Solar. Há uma grande diversidade dessas classes de objetos, mas todas elas contêm informações importantes a respeito da história, da química e
da evolução do nosso sistema. Muitos desses objetos são remanescentes de colisões catastróficas, revelando processos pelos quais passaram desde a
sua formação. Estudar os pequenos corpos é decifrar a formação e evolução do Sistema Solar. No Universo Acessível mapeamos as missões espaciais
mais impactantes que visitaram os pequenos corpos, tais como a missão Stardust que visitou o cometa Wild 2, ou a OSIRIS−REX que visitou o asteroide
Bennu. Em ambos os casos, foi coletado material que foi trazido à Terra para ser estudado em laboratório. Assim, nesse trabalho apresentamos o
desenvolvimento e a implementação de um livro falado contendo essas e outras missões. O livro falado é um recurso de tecnologia assistiva para pessoas
com deficiência visual proporcionando autonomia e liberdade de pensamento ao leitor, através de uma leitura branca, voz clara e bem pontuada. O
projeto já publicou quatro livros falados, todos disponíveis em nosso site ( https://universo−acessivel.vercel.app/ ). Outra questão abordada é a formação
de crateras. Faremos oficinas de crateras, em parceria com o Instituto Benjamin Constant, onde reproduziremos, em cerâmica, as diferentes crateras de
impacto causadas por quedas de meteoritos, não somente na Terra, mas também em outros planetas. Por fim discutimos a importância de desenvolver
ferramentas acessíveis, sejam elas já amplamente utilizadas – livros falados – ou de mecanismos inovadores, como jogos e oficinas.","FONSECA, G. L. M; LIMA, N. R. W.; VILARDO, C. R. Manual de produção do livro falado: subsídios para a acessibilidade informacional à
pessoa com deficiência visual, UFF, 2020. FONSECA, G. L. M.; LIMA, N. R. W. Acessibilidade informacional à pessoa com deficiência visual através do livro
falado. Revista Informação na Sociedade Contemporânea, v. 4, n. 1, 2020. JESUS, P. S. Livros sonoros, audiolivro, audiobook e Livro Falado.
2011.Disponível em: bengalalegal.com/livros−sonoros"
Pesquisa,Oral,725,Estudo das alterações físico−químicas induzidas pela adição de farinha de grilo (Gryllus assimilis) e pela aplicação do ultrassom de,,"YAGO ALVES DE AGUIAR BERNARDO,CARLOS CONTE","A indústria alimentícia tem buscado cada vez mais por práticas e produtos mais sustentáveis. Isto ocorre em um cenário de tragédias climáticas
e maior demanda alimentar devido ao crescimento populacional. Deste modo, o consumo de insetos se mostra como uma excelente alternativa, dado seu
alto valor nutricional, elevada conversão alimentar, baixo custo e menor impacto ambiental, quando comparado às proteínas tradicionais. Apesar das
vantagens, a entomofagia ainda enfrenta desafios, como a neofobia alimentar. Deste modo, adotam−se algumas estratégias como a adição dos insetos
na forma de farinha para substituição proteica parcial em alimentos. No entanto, estudos mostram que, em concentrações elevadas, a farinha de inseto
pode levar a alterações sensoriais indesejadas nos alimentos, diminuindo sua aceitação. Os principais problemas relatados são relacionados à cor, textura
e sabor. Deste modo, se torna interessante a aplicação de métodos capazes de melhorar as propriedades sensoriais destes produtos, visando aumentar
sua aceitação. Por isto, o ultrassom de alta−intensidade (UAI) se apresenta como uma excelente alternativa para o processamento de produtos cárneos,
por ser ambientalmente amigável e por manter as características sensoriais do alimento, apresentando potencial para amaciamento de produtos cárneos.
Por isto, este trabalho visa estudar as alterações físico−químicas induzidas pela aplicação do UAI em nuggets de frango adicionados de farinha de grilo (
Gryllus assimilis ). Esta espécie foi escolhida por ser comum no Brasil e por seu alto valor nutricional, sendo rica em proteínas, ácidos graxos, carboidratos
e minerais. Foram estudados dois níveis de substituição de farinha de inseto (10&percnt; e 20&percnt;) e a aplicação do UAI (6 min, 450 W, 4 °C, 20 kHz).
Para avaliar os impactos do UAI e da adição da farinha de inseto, as análises escolhidas foram: pH, atividade de água, perda pelo cozimento, mobilidade
de água (ressonância magnética nuclear de baixo campo), composição centesimal, cor instrumental e oxidação lipídica. Portanto, espera−se que o UAI
seja capaz de melhorar o perfil de textura e a retenção de água dos nuggets adicionados de inseto. No entanto, também é esperado o aumento da
oxidação lipídica, intimamente relacionado à adição de farinha de grilo e aplicação do UAI, bem como escurecimento do produto adicionado de farinha de
grilo. O presente trabalho contribuirá para o entendimento e popularização de alimentos benéficos à saúde humana e de processos alimentícios mais
sustentáveis.","Bernardo, Y.A.D.A. et al. (2023). Principles, Application, and Gaps of High−Intensity Ultrasound and High−Pressure Processing to Improve
Meat Texture. Foods. https://doi.org/10.3390/foods12030476. Gomes Martins, V.M. et al. (2024). Adding cricket ( Gryllus assimilis ) flour in hybrid beef
patties: physicochemical, technological and sensory challenges. International Journal of Food Science & Technology. https://doi.org/10.1111/ijfs.16826.
Soares Araújo, R.R. et al. (2019). Nutritional composition of insects Gryllus assimilis and Zophobas morio: Potential foods harvested in Brazil. Journal of
Food Composition and Analysis. https://doi.org/10.1016/j.jfca.2018.11.005."
Pesquisa,Pôster,734,Modelagem Dinâmica da Expansão Urbana em Niterói (RJ): Cenários Prospectivos até 2050,,ELIZABETH MARIA FEITOSA DA ROCHA DE SOUZA,"Este estudo investiga a dinâmica que molda a expansão urbana no município de Niterói, localizado na Região Metropolitana do Rio de Janeiro.
Compreender as complexas interações entre fatores ambientais e antrópicos é essencial, tendo em vista que o processo de urbanização acarreta
impactos significativos nas dimensões social, econômica e ambiental. Nesse contexto, a pesquisa propõe a projeção de cenários futuros de mudança no
uso e na cobertura da terra, contribuindo para a compreensão da dinâmica espacial associada à expansão urbana no município. A escolha de Niterói como
área de estudo justifica−se por sua crescente integração com a cidade do Rio de Janeiro, evidenciada pela intensificação dos fluxos de pessoas, bens e
serviços, além da ampliação das conexões viárias e da pressão crescente sobre o uso e a ocupação do solo. Essa integração confere a Niterói um caráter
estratégico para a análise das interações entre variáveis ambientais e socioeconômicas no contexto metropolitano. O objetivo principal deste trabalho é
analisar a influência de fatores físicos e antrópicos no processo de expansão urbana de Niterói, com ênfase no período compreendido entre 2000 e 2023,
bem como projetar cenários de mudança no uso e cobertura da terra até o ano de 2050. As variáveis consideradas incluem a malha viária, hidrografia,
unidades de conservação, relevo, declividade e classes de uso e ocupação do solo. Para assegurar a precisão na modelagem dessas variáveis dinâmicas,
foram utilizados dados provenientes de bases públicas nacionais, como IBGE, HUB SIGeo, MapBiomas e a Infraestrutura Nacional de Dados Espaciais
(INDE). A metodologia adotada baseou−se na modelagem espacial dinâmica por meio de autômatos celulares, implementada na plataforma Dinamica
EGO, o que possibilitou uma análise detalhada das tendências de expansão urbana, com a atribuição de pesos de evidência às variáveis envolvidas. Os
resultados obtidos indicam uma tendência de crescimento urbano acompanhada pela redução de áreas vegetadas sobretudo nas zonas de transição entre
áreas consolidadas e periferias urbanas. A relevância deste estudo é ampliada pela possibilidade de comparação com outras áreas urbanas da Região
Metropolitana do Rio de Janeiro e, em perspectiva futura, com estudos internacionais, contribuindo para uma compreensão mais abrangente das
dinâmicas urbanas em diferentes contextos socioespaciais.","VIÉGAS, Vandré Soares et al. A CIDADE POR CONHECER: MODELAGEM DINÂMICA DA REGIÃO METROPOLITANA DO RIO DE JANEIRO, UMA
VISÃO PARA 2050. 2023. VIÉGAS, Vandré Soares et al. Autômatos celulares no contexto da modelagem dinâmica: desafios da modelagem de espaços
urbanos. Revista do Departamento de Geografia, v. 41, p. e181171−e181171, 2021."
Pesquisa,Oral,739,Avaliação da atividade fotoprotetora de antioxidantes sintéticos em Saccharomyces cerevisiae expostas à radiação UVA,,"LARISSA MAURA DE MELO MATTOS,MARCOS D. PEREIRA","Os raios UVA (320–400 nm) representam a maior fração da radiação UV que atinge a superfície terrestre, ultrapassando com facilidade a
camada de ozônio. Devido à sua alta penetração nos tecidos biológicos, essa radiação está relacionada à indução de estresse oxidativo, alterações
genéticas, envelhecimento precoce e processos patológicos como neoplasias cutâneas. Diante desse cenário, cresce o interesse por estratégias
fotoprotetoras capazes de minimizar tais efeitos deletérios, especialmente utilizando modelos experimentais alternativos. Entre as abordagens
exploradas, compostos de coordenação têm se destacado como alternativas promissoras, devido às suas propriedades químicas versáteis, como
comprovado por estudo prévio do grupo que evidenciou a ação antioxidante dos complexos FeHâ e CuHâ, derivados do ligante
N−(2−hidroxibenzil)−N−(2−piridilmetil)[(3−cloro)(2−hidroxi)]−propilamina, em Saccharomyces cerevisiae e Galleria mellonella . A levedura S. cerevisiae
destaca−se nesse contexto pelo baixo custo, facilidade de cultivo, suas vias metabólicas serem muito similares aos de eucariotos superiores e o fato de
suportar doses de radiação similares a que estamos expostos diariamente. O presente trabalho teve como objetivo investigar a capacidade dos
complexos FeHâ e CuHâ em mitigar os danos celulares causados pela radiação UVA. A avaliação da sobrevivência celular sob estresse induzido pela
radiação UVA foi realizada em culturas de fase estacionária das cepas FF18733 e yno1Δ de S. cerevisiae que foram ajustadas para a concentração de 1
mg/mL e tratadas com 25, 50, 100 e 200 μM de cada complexo por 1 hora. Em seguida, as células foram transferidas para placas de 6 poços contendo 2
mL de água destilada estéril e expostas, durante 2 horas, a uma dose acumulada de 172,8 kJ/m² de radiação UVA. Após a irradiação, as células foram
plaqueadas em triplicata em meio sólido YPD 2&percnt; e incubados a 28 °C por 72 horas para posterior análise da sobrevivência celular. Para avaliação
da disfunção mitocondrial, foi realizado o plaqueamento em meio YPGly 4&percnt;, enquanto para a análise da mutagênese, as células foram plaqueadas
em meio SD 2&percnt; suplementado com 60 μg/mL de canavanina. Nossos resultados em meio YPD2&percnt; mostraram que os complexos foram
capazes de proteger S. cerevisiae contra a radiação UVA, tanto na cepa selvagem quanto na cepa mutante, não mostrando ser dose dependente. No
entanto, a cepa mutante yno1Δ de S. cerevisiae apresentou maior sensibilidade à radiação UVA em comparação com a cepa selvagem FF18733,
24&percnt; versus 38&percnt;, respectivamente. Ensaios preliminares com radiação UVB mostraram que esses complexos reduziram a disfunção
mitocondrial e a mutagênese, no entanto, precisamos confirmar se esses complexos também protegerão contra a radiação UVA.","1. S. Kozmin,G. Slezak,A. Reynaud−Angelin,C. Elie,Y. de Rycke,S. Boiteux,& E. Sage, UVA radiation is highly mutagenic in cells that are
unable to repair 7,8−dihydro−8−oxoguanine in Saccharomyces cerevisiae, Proc. Natl. Acad. Sci. U.S.A. 102 (38) 13538−13543,
https://doi.org/10.1073/pnas.0504497102 (2005). 2. Larissa M M Mattos, Hyan M Hottum, Daniele C Pires, Bruna B Segat, Adolfo Horn, Christiane
Fernandes, Marcos D Pereira, Exploring the antioxidant activity of Fe(III), Mn(III)Mn(II), and Cu(II) compounds in Saccharomyces cerevisiae and Galleria
mellonella models of study, FEMS Yeast Research, Volume 24, 2024, foad052, https://doi.org/10.1093/femsyr/foad052"
